Item1,Item2.Item1.Item1,Item2.Item1.Item2.Value.IsInvalid,Item2.Item1.Item2.Value.ElementType,Item2.Item1.Item2.Value.Size.Width,Item2.Item1.Item2.Value.Size.Height,Item2.Item1.Item2.Value.Rows,Item2.Item1.Item2.Value.Cols,Item2.Item1.Item2.Value.Step,Item2.Item1.Item2.Value.Depth,Item2.Item1.Item2.Value.Channels,Item2.Item1.Item2.Value.ElementSize,Item2.Item1.Item2.Value.Data,Item2.Item1.Item2.Value.IsClosed,Item2.Item1.Item2.Timestamp,Item2.Item2
Lick2,True,False,6,10,3,3,10,80,F64,1,8,622125952,False,2023-08-28T14:10:08.1590400+02:00,563
Lick2,True,False,6,10,3,3,10,80,F64,1,8,620965440,False,2023-08-28T14:10:08.3595264+02:00,565
Lick1,True,False,6,10,3,3,10,80,F64,1,8,620965440,False,2023-08-28T14:10:08.3595264+02:00,565
Lick2,True,False,6,10,3,3,10,80,F64,1,8,622666960,False,2023-08-28T14:10:08.6604928+02:00,568
Lick1,True,False,6,10,3,3,10,80,F64,1,8,622891104,False,2023-08-28T14:10:08.8610304+02:00,570
Lick2,True,False,6,10,3,3,10,80,F64,1,8,622891104,False,2023-08-28T14:10:08.8610304+02:00,570
Lick2,True,False,6,10,3,3,10,80,F64,1,8,620575024,False,2023-08-28T14:10:09.3617664+02:00,575
Lick2,True,False,6,10,3,3,10,80,F64,1,8,622484112,False,2023-08-28T14:10:09.6629120+02:00,578
Lick1,True,False,6,10,3,3,10,80,F64,1,8,619606112,False,2023-08-28T14:10:09.7624960+02:00,579
Lick2,True,False,6,10,3,3,10,80,F64,1,8,623995024,False,2023-08-28T14:10:09.8630144+02:00,580
Lick1,True,False,6,10,3,3,10,80,F64,1,8,620575936,False,2023-08-28T14:10:09.9633280+02:00,581
Lick1,True,False,6,10,3,3,10,80,F64,1,8,620966816,False,2023-08-28T14:10:10.1646080+02:00,583
Lick1,True,False,6,10,3,3,10,80,F64,1,8,621213584,False,2023-08-28T14:10:10.2642944+02:00,584
Lick1,True,False,6,10,3,3,10,80,F64,1,8,565565408,False,2023-08-28T14:10:10.4648576+02:00,586
Lick1,True,False,6,10,3,3,10,80,F64,1,8,620189392,False,2023-08-28T14:10:10.7658240+02:00,589
Lick2,True,False,6,10,3,3,10,80,F64,1,8,620189392,False,2023-08-28T14:10:10.7658240+02:00,589
Lick1,True,False,6,10,3,3,10,80,F64,1,8,624073056,False,2023-08-28T14:10:10.9664768+02:00,591
Lick2,True,False,6,10,3,3,10,80,F64,1,8,624073056,False,2023-08-28T14:10:10.9664768+02:00,591
Lick1,True,False,6,10,3,3,10,80,F64,1,8,622892928,False,2023-08-28T14:10:11.1673216+02:00,593
Lick2,True,False,6,10,3,3,10,80,F64,1,8,622892928,False,2023-08-28T14:10:11.1673216+02:00,593
Lick1,True,False,6,10,3,3,10,80,F64,1,8,619443840,False,2023-08-28T14:10:11.2672512+02:00,594
Lick2,True,False,6,10,3,3,10,80,F64,1,8,621500288,False,2023-08-28T14:10:11.3673856+02:00,595
Lick2,True,False,6,10,3,3,10,80,F64,1,8,620953568,False,2023-08-28T14:10:11.5688576+02:00,597
Lick1,True,False,6,10,3,3,10,80,F64,1,8,620953568,False,2023-08-28T14:10:11.5688576+02:00,597
Lick1,True,False,6,10,3,3,10,80,F64,1,8,622390576,False,2023-08-28T14:10:11.6587904+02:00,598
Lick2,True,False,6,10,3,3,10,80,F64,1,8,622390576,False,2023-08-28T14:10:11.6587904+02:00,598
Lick1,True,False,6,10,3,3,10,80,F64,1,8,622389056,False,2023-08-28T14:10:11.8600448+02:00,600
Lick2,True,False,6,10,3,3,10,80,F64,1,8,622389056,False,2023-08-28T14:10:11.8600448+02:00,600
Lick2,True,False,6,10,3,3,10,80,F64,1,8,623833872,False,2023-08-28T14:10:12.2609152+02:00,604
Lick1,True,False,6,10,3,3,10,80,F64,1,8,623833872,False,2023-08-28T14:10:12.2609152+02:00,604
Lick2,True,False,6,10,3,3,10,80,F64,1,8,620575024,False,2023-08-28T14:10:12.7623680+02:00,609
Lick2,True,False,6,10,3,3,10,80,F64,1,8,619612192,False,2023-08-28T14:10:14.3665920+02:00,625
Lick2,True,False,6,10,3,3,10,80,F64,1,8,622549664,False,2023-08-28T14:10:19.3711232+02:00,675
Lick1,True,False,6,10,3,3,10,80,F64,1,8,622349776,False,2023-08-28T14:10:19.6624128+02:00,678
Lick2,True,False,6,10,3,3,10,80,F64,1,8,619605200,False,2023-08-28T14:10:19.7629440+02:00,679
Lick2,True,False,6,10,3,3,10,80,F64,1,8,621276880,False,2023-08-28T14:10:20.1641600+02:00,683
Lick2,True,False,6,10,3,3,10,80,F64,1,8,619054864,False,2023-08-28T14:10:20.3645568+02:00,685
Lick2,True,False,6,10,3,3,10,80,F64,1,8,621290080,False,2023-08-28T14:10:20.5645312+02:00,687
pump1_on,True,False,6,10,3,3,10,80,F64,1,8,625080208,False,2023-08-28T14:10:20.7652992+02:00,689
Lick2,True,False,6,10,3,3,10,80,F64,1,8,619776624,False,2023-08-28T14:10:20.9660288+02:00,691
Lick2,True,False,6,10,3,3,10,80,F64,1,8,623879424,False,2023-08-28T14:10:21.2675840+02:00,694
pump1_off,True,False,6,10,3,3,10,80,F64,1,8,622361808,False,2023-08-28T14:10:22.7654784+02:00,709
Lick1,True,False,6,10,3,3,10,80,F64,1,8,622548448,False,2023-08-28T14:10:24.6696576+02:00,728
Lick2,True,False,6,10,3,3,10,80,F64,1,8,621729376,False,2023-08-28T14:10:25.0711040+02:00,732
Lick2,True,False,6,10,3,3,10,80,F64,1,8,620575328,False,2023-08-28T14:10:25.1689344+02:00,733
Lick2,True,False,6,10,3,3,10,80,F64,1,8,619055776,False,2023-08-28T14:10:25.3693824+02:00,735
Lick2,True,False,6,10,3,3,10,80,F64,1,8,622483808,False,2023-08-28T14:10:25.5701120+02:00,737
Lick2,True,False,6,10,3,3,10,80,F64,1,8,619599728,False,2023-08-28T14:10:25.7705728+02:00,739
Lick2,True,False,6,10,3,3,10,80,F64,1,8,619054864,False,2023-08-28T14:10:25.9710976+02:00,741
Lick2,True,False,6,10,3,3,10,80,F64,1,8,620573808,False,2023-08-28T14:10:26.3722880+02:00,745
Lick1,True,False,6,10,3,3,10,80,F64,1,8,620189696,False,2023-08-28T14:10:32.9741184+02:00,811
Lick1,True,False,6,10,3,3,10,80,F64,1,8,622663456,False,2023-08-28T14:10:33.8675584+02:00,820
pump2_on,True,False,6,10,3,3,10,80,F64,1,8,620287056,False,2023-08-28T14:10:44.1812864+02:00,923
Lick2,True,False,6,10,3,3,10,80,F64,1,8,623834784,False,2023-08-28T14:10:45.7751680+02:00,939
pump2_off,True,False,6,10,3,3,10,80,F64,1,8,619590000,False,2023-08-28T14:10:46.2764160+02:00,944
Lick2,True,False,6,10,3,3,10,80,F64,1,8,621727856,False,2023-08-28T14:10:47.9808000+02:00,961
pump2_on,True,False,6,10,3,3,10,80,F64,1,8,621287952,False,2023-08-28T14:11:13.3847296+02:00,1215
Lick1,True,False,6,10,3,3,10,80,F64,1,8,623841792,False,2023-08-28T14:11:13.6858368+02:00,1218
Lick1,True,False,6,10,3,3,10,80,F64,1,8,13058640,False,2023-08-28T14:11:13.7855104+02:00,1219
Lick1,True,False,6,10,3,3,10,80,F64,1,8,622389968,False,2023-08-28T14:11:13.9865216+02:00,1221
Lick1,True,False,6,10,3,3,10,80,F64,1,8,619601856,False,2023-08-28T14:11:14.1868928+02:00,1223
Lick1,True,False,6,10,3,3,10,80,F64,1,8,623808272,False,2023-08-28T14:11:14.2870400+02:00,1224
Lick1,True,False,6,10,3,3,10,80,F64,1,8,620030528,False,2023-08-28T14:11:14.4879232+02:00,1226
Lick1,True,False,6,10,3,3,10,80,F64,1,8,621731200,False,2023-08-28T14:11:14.5876992+02:00,1227
Lick1,True,False,6,10,3,3,10,80,F64,1,8,623789280,False,2023-08-28T14:11:14.7884288+02:00,1229
Lick1,True,False,6,10,3,3,10,80,F64,1,8,621031616,False,2023-08-28T14:11:14.9889792+02:00,1231
Lick1,True,False,6,10,3,3,10,80,F64,1,8,619601248,False,2023-08-28T14:11:15.1895424+02:00,1233
pump2_off,True,False,6,10,3,3,10,80,F64,1,8,619598512,False,2023-08-28T14:11:15.3905152+02:00,1235
Lick1,True,False,6,10,3,3,10,80,F64,1,8,619593952,False,2023-08-28T14:11:15.5909120+02:00,1237
Lick1,True,False,6,10,3,3,10,80,F64,1,8,619602464,False,2023-08-28T14:11:20.9870080+02:00,1291
Lick1,True,False,6,10,3,3,10,80,F64,1,8,622893840,False,2023-08-28T14:11:21.4882176+02:00,1296
Lick1,True,False,6,10,3,3,10,80,F64,1,8,622681024,False,2023-08-28T14:11:26.9940352+02:00,1351
pump1_on,True,False,6,10,3,3,10,80,F64,1,8,624144672,False,2023-08-28T14:11:35.4974592+02:00,1436
Lick1,True,False,6,10,3,3,10,80,F64,1,8,621502416,False,2023-08-28T14:11:37.3976576+02:00,1455
pump1_off,True,False,6,10,3,3,10,80,F64,1,8,622898864,False,2023-08-28T14:11:37.4975488+02:00,1456
Lick1,True,False,6,10,3,3,10,80,F64,1,8,621102544,False,2023-08-28T14:11:38.0008576+02:00,1461
Lick1,True,False,6,10,3,3,10,80,F64,1,8,624108192,False,2023-08-28T14:11:38.3019008+02:00,1464
Lick1,True,False,6,10,3,3,10,80,F64,1,8,625054288,False,2023-08-28T14:11:38.7028864+02:00,1468
Lick1,True,False,6,10,3,3,10,80,F64,1,8,625054288,False,2023-08-28T14:11:38.7028864+02:00,1468
Lick2,True,False,6,10,3,3,10,80,F64,1,8,623809792,False,2023-08-28T14:11:38.9040640+02:00,1470
Lick2,True,False,6,10,3,3,10,80,F64,1,8,621276272,False,2023-08-28T14:11:38.9955328+02:00,1471
Lick1,True,False,6,10,3,3,10,80,F64,1,8,623809488,False,2023-08-28T14:11:39.5990272+02:00,1477
Lick1,True,False,6,10,3,3,10,80,F64,1,8,624073056,False,2023-08-28T14:11:39.9003392+02:00,1480
Lick1,True,False,6,10,3,3,10,80,F64,1,8,620953872,False,2023-08-28T14:11:40.1009152+02:00,1482
Lick1,True,False,6,10,3,3,10,80,F64,1,8,621103152,False,2023-08-28T14:11:40.2011264+02:00,1483
Lick1,True,False,6,10,3,3,10,80,F64,1,8,618493888,False,2023-08-28T14:11:40.3019776+02:00,1484
Lick1,True,False,6,10,3,3,10,80,F64,1,8,623834176,False,2023-08-28T14:11:40.4022400+02:00,1485
Lick1,True,False,6,10,3,3,10,80,F64,1,8,622898864,False,2023-08-28T14:11:40.5026176+02:00,1486
Lick2,True,False,6,10,3,3,10,80,F64,1,8,622898864,False,2023-08-28T14:11:40.5026176+02:00,1486
Lick1,True,False,6,10,3,3,10,80,F64,1,8,622127776,False,2023-08-28T14:11:40.7031424+02:00,1488
Lick1,True,False,6,10,3,3,10,80,F64,1,8,623834480,False,2023-08-28T14:11:40.9951616+02:00,1491
Lick1,True,False,6,10,3,3,10,80,F64,1,8,619537760,False,2023-08-28T14:11:41.2973824+02:00,1494
Lick1,True,False,6,10,3,3,10,80,F64,1,8,564849856,False,2023-08-28T14:11:41.4983168+02:00,1496
Lick2,True,False,6,10,3,3,10,80,F64,1,8,564849856,False,2023-08-28T14:11:41.4983168+02:00,1496
Lick1,True,False,6,10,3,3,10,80,F64,1,8,624107888,False,2023-08-28T14:11:41.5985408+02:00,1497
Lick2,True,False,6,10,3,3,10,80,F64,1,8,618494496,False,2023-08-28T14:11:41.9009664+02:00,1500
Lick1,True,False,6,10,3,3,10,80,F64,1,8,618494496,False,2023-08-28T14:11:41.9009664+02:00,1500
Lick1,True,False,6,10,3,3,10,80,F64,1,8,622682240,False,2023-08-28T14:11:42.2968576+02:00,1504
Lick2,True,False,6,10,3,3,10,80,F64,1,8,622682240,False,2023-08-28T14:11:42.2968576+02:00,1504
Lick2,True,False,6,10,3,3,10,80,F64,1,8,621501504,False,2023-08-28T14:11:42.7986816+02:00,1509
Lick1,True,False,6,10,3,3,10,80,F64,1,8,622367904,False,2023-08-28T14:11:42.8998656+02:00,1510
Lick1,True,False,6,10,3,3,10,80,F64,1,8,622893232,False,2023-08-28T14:11:43.0012928+02:00,1511
Lick2,True,False,6,10,3,3,10,80,F64,1,8,622893232,False,2023-08-28T14:11:43.0012928+02:00,1511
Lick1,True,False,6,10,3,3,10,80,F64,1,8,624080512,False,2023-08-28T14:11:51.3027968+02:00,1594
Lick1,True,False,6,10,3,3,10,80,F64,1,8,622610272,False,2023-08-28T14:11:51.5033728+02:00,1596
Lick1,True,False,6,10,3,3,10,80,F64,1,8,622665280,False,2023-08-28T14:11:56.7067008+02:00,1648
Lick1,True,False,6,10,3,3,10,80,F64,1,8,623810400,False,2023-08-28T14:11:56.9072128+02:00,1650
Lick1,True,False,6,10,3,3,10,80,F64,1,8,619056992,False,2023-08-28T14:11:57.2081024+02:00,1653
Lick2,True,False,6,10,3,3,10,80,F64,1,8,623063760,False,2023-08-28T14:11:57.3083776+02:00,1654
Lick1,True,False,6,10,3,3,10,80,F64,1,8,623063760,False,2023-08-28T14:11:57.3083776+02:00,1654
Lick1,True,False,6,10,3,3,10,80,F64,1,8,623834784,False,2023-08-28T14:11:57.5079552+02:00,1656
Lick1,True,False,6,10,3,3,10,80,F64,1,8,619283872,False,2023-08-28T14:11:57.6082560+02:00,1657
Lick2,True,False,6,10,3,3,10,80,F64,1,8,624109712,False,2023-08-28T14:11:57.7082624+02:00,1658
Lick1,True,False,6,10,3,3,10,80,F64,1,8,625082032,False,2023-08-28T14:11:58.0103808+02:00,1661
Lick2,True,False,6,10,3,3,10,80,F64,1,8,619283568,False,2023-08-28T14:11:58.5032576+02:00,1666
pump1_on,True,False,6,10,3,3,10,80,F64,1,8,622549360,False,2023-08-28T14:11:58.6041216+02:00,1667
Lick1,True,False,6,10,3,3,10,80,F64,1,8,622549360,False,2023-08-28T14:11:59.1068032+02:00,1672
Lick2,True,False,6,10,3,3,10,80,F64,1,8,619286000,False,2023-08-28T14:11:59.2069888+02:00,1673
pump1_off,True,False,6,10,3,3,10,80,F64,1,8,623841024,False,2023-08-28T14:12:00.7056512+02:00,1688
Lick1,True,False,6,10,3,3,10,80,F64,1,8,619265024,False,2023-08-28T14:12:10.1145472+02:00,1782
Lick1,True,False,6,10,3,3,10,80,F64,1,8,620190912,False,2023-08-28T14:12:10.2146944+02:00,1783
Lick1,True,False,6,10,3,3,10,80,F64,1,8,621599168,False,2023-08-28T14:12:12.7126016+02:00,1808
Lick2,True,False,6,10,3,3,10,80,F64,1,8,622609056,False,2023-08-28T14:12:13.1133312+02:00,1812
pump1_on,True,False,6,10,3,3,10,80,F64,1,8,624070928,False,2023-08-28T14:12:18.3132800+02:00,1864
pump1_off,True,False,6,10,3,3,10,80,F64,1,8,625082640,False,2023-08-28T14:12:20.3131264+02:00,1884
Lick1,True,False,6,10,3,3,10,80,F64,1,8,620965136,False,2023-08-28T14:12:26.8196736+02:00,1949
Lick1,True,False,6,10,3,3,10,80,F64,1,8,623099024,False,2023-08-28T14:12:27.0202624+02:00,1951
pump1_on,True,False,6,10,3,3,10,80,F64,1,8,620031440,False,2023-08-28T14:12:35.6245248+02:00,2037
pump1_off,True,False,6,10,3,3,10,80,F64,1,8,621277184,False,2023-08-28T14:12:37.6208000+02:00,2057
Lick1,True,False,6,10,3,3,10,80,F64,1,8,622388752,False,2023-08-28T14:12:41.1264512+02:00,2092
Lick1,True,False,6,10,3,3,10,80,F64,1,8,620969248,False,2023-08-28T14:12:41.6290560+02:00,2097
Lick1,True,False,6,10,3,3,10,80,F64,1,8,565562976,False,2023-08-28T14:12:45.7312640+02:00,2138
Lick1,True,False,6,10,3,3,10,80,F64,1,8,622361504,False,2023-08-28T14:12:46.0238976+02:00,2141
Lick1,True,False,6,10,3,3,10,80,F64,1,8,623066496,False,2023-08-28T14:12:48.3252608+02:00,2164
Lick1,True,False,6,10,3,3,10,80,F64,1,8,623842096,False,2023-08-28T14:12:48.7266048+02:00,2168
Lick2,True,False,6,10,3,3,10,80,F64,1,8,622391184,False,2023-08-28T14:12:48.9284096+02:00,2170
Lick1,True,False,6,10,3,3,10,80,F64,1,8,621287952,False,2023-08-28T14:12:49.4313216+02:00,2175
Lick1,True,False,6,10,3,3,10,80,F64,1,8,619270192,False,2023-08-28T14:12:50.0252672+02:00,2181
Lick2,True,False,6,10,3,3,10,80,F64,1,8,621290688,False,2023-08-28T14:12:50.3259904+02:00,2184
Lick2,True,False,6,10,3,3,10,80,F64,1,8,622549056,False,2023-08-28T14:12:50.6269184+02:00,2187
